Euromonitor-Rank,City,Country/Territory,Arrivals
1,Hong Kong,Hong Kong,29262700
2,Bangkok,Thailand,24177500
3,London,United Kingdom,19233000
4,Macau,Macau,18931400
5,Singapore,Singapore,18551200
6,Paris,France,17560200
7,Dubai,United Arab Emirates,15920700
8,New York City,United States,13600000
9,Kuala Lumpur,Malaysia,13434300
10,Istanbul,Turkey,13433000
11,Delhi,India,12645300
12,Antalya,Turkey,12438800
13,Shenzhen,China,12202100
14,Mumbai,India,10590100
16,Phuket,Thailand,10550700
17,Rome,Italy,10065400
18,Tokyo,Japan,9985100
19,Pattaya,Thailand,9606400
20,Taipei,Taiwan,9597800
21,Mecca,Saudi Arabia,9565200
22,Guangzhou,China,9004800
23,Prague,Czech Republic,8948600
24,Medina,Saudi Arabia,8547200
25,Seoul,South Korea,8431400
26,Amsterdam,Netherlands,8354200
27,Agra,India,8138200
28,Miami,United States,8121300
29,Osaka,Japan,7861500
30,Las Vegas,United States,6639300
31,Shanghai,China,7483500
32,Ho Chi Minh City,Vietnam,7200000
33,Denpasar,Indonesia,7185600
34,Barcelona,Spain,6714500
35,Los Angeles,United States,6591300
